en,de,eu,ro,it,fr,hu,et,fi
heavy,schwer,heavy,greu,pesante,lourd,nehéz,raske,raskas
help,Hilfe,lagundu,Ajutor,Aiuto,Aidez-moi,Segítség,abi,auta
her,ihr,bere,a ei,sua,sa,neki,tema,hänen
here,Hier,hemen,aici,Qui,ici,itt,siin,tässä
herself,Sie selber,bere burua,se,se stessa,se,önmaga,ise,oma itsensä
high,hoch,handiko,înalt,alto,haute,magas,kõrge,korkea
him,ihm,zion,-l,lui,lui,neki,tema,häntä
himself,selbst,bere burua,se,lui stesso,lui-même,saját maga,ise,hän itse
his,seine,haren,a lui,il suo,le sien,övé,tema,hänen
history,Geschichte,historia,istorie,storia,l'histoire,történelem,ajalugu,historia
hit,schlagen,jo,lovit,colpire,frappé,találat,tabas,osuma
hold,halt,eduki,deține,tenere,tenir,tart,hoidma,pitää
home,Zuhause,hasiera,Acasă,casa,maison,itthon,Kodu,Koti
hope,hoffen,espero,speranţă,speranza,espérer,remény,lootus,toivoa
hospital,Krankenhaus,hospital,spital,ospedale,hôpital,kórház,haigla,sairaala
hot,heiß,beroa,Fierbinte,caldo,chaud,forró,kuum,kuuma
hotel,Hotel,hotel,hotel,Hotel,un hôtel,szálloda,hotell,hotelli
hour,Stunde,ordu,ora,ora,heure,óra,tund,tunnin
house,Haus,etxe,casă,Casa,maison,ház,maja,talo
how,Wie,nola,Cum,Come,Comment,hogyan,kuidas,millä tavalla
however,jedoch,ordea,in orice caz,però,toutefois,azonban,Kuid,kuitenkin
huge,enorm,erraldoia,imens,enorme,énorme,hatalmas,tohutu,valtava
human,Mensch,giza,uman,umano,Humain,emberi,inimene,ihmisen
hundred,hundert,ehun,sută,centinaio,cent,száz,sada,sata
husband,Mann,senarra,soț,marito,mari,férj,abikaasa,aviomies
I,ich,I,eu,io,je,én,mina,minä
idea,Idee,ideia,idee,idea,idée,ötlet,idee,ajatus
identify,identifizieren,identifikatzeko,identifica,identificare,identifier,azonosítani,identifitseerima,tunnistaa
if,ob,bada,dacă,Se,si,ha,kui,jos
image,Bild,irudia,imagine,Immagine,image,kép,pilt,kuva
imagine,vorstellen,imajinatu,imagina,immaginare,imaginer,Képzeld el,kujutada,kuvitella
impact,Auswirkung,eraginaren,efect,urto,impact,hatás,mõju,vaikutus
important,wichtig,garrantzitsua,important,importante,important,fontos,oluline,tärkeä
improve,verbessern,hobetu,îmbunătăţi,Migliorare,améliorer,javul,parandama,parantaa
in,im,in,în,nel,dans,ban ben,sisse,sisään
include,umfassen,"besteak beste,",include,includere,comprendre,tartalmaz,sisaldama,sisältää
including,einschließlich,barne,inclusiv,Compreso,comprenant,beleértve,kaasa arvatud,mukaan lukien
increase,"erhöhen, ansteigen",handitu,crește,aumentare,augmenter,növekedés,suurendama,lisääntyä
indeed,tatsächlich,Hain zuzen ere,intr-adevar,infatti,effectivement,valóban,tõepoolest,todellakin
indicate,zeigen,adierazi,indica,indicare,indiquer,jelez,näitama,osoittaa
individual,Individuell,banakako,individual,individuale,individuel,Egyedi,individuaalne,yksilö
industry,Industrie,industria,industrie,industria,industrie,ipar,tööstus,ala
information,Information,informazio,informație,informazione,information,információ,teave,tiedot
inside,Innerhalb,barrutik,interior,dentro,à l'intérieur,belül,sees,sisällä
instead,stattdessen,ordez,in schimb,anziché,au lieu,helyette,selle asemel,sen sijaan
institution,Institution,erakunde,instituţie,istituzione,institution,intézmény,institutsioon,instituutio
interest,Interesse,interes,interes,interesse,intérêt,érdeklődés,huvi,kiinnostuksen kohde
interesting,interessant,interesgarria,interesant,interessante,intéressant,érdekes,huvitav,mielenkiintoista
international,International,nazioarteko,internaţional,internazionale,international,nemzetközi,rahvusvaheline,kansainvälinen
interview,Interview,elkarrizketa,interviu,colloquio,entrevue,interjú,intervjuu,haastatella
into,in,sartu,în,in,dans,-ba,sisse,osaksi
investment,Investition,inbertsio,investiție,investimento,investissement,beruházás,investeering,investointi
involve,umfassen,suposa,implica,coinvolgere,impliquer,vonja,kaasama,sisältää
issue,Problem,alea,problema,problema,problème,probléma,probleem,ongelma
it,es,da,aceasta,esso,il,azt,see,se
item,Artikel,elementua,articol,articolo,article,tétel,toode,erä
its,es ist,bere,este,suo,ses,annak,selle,sen
itself,selbst,bera,în sine,si,lui-même,maga,ise,itse
job,Job,lana,loc de munca,lavoro,emploi,munka,töö,Job
join,Beitreten,batu,a adera,aderire,joindre,csatlakozik,liituma,liittyä seuraan
just,gerade,besterik,doar,appena,juste,éppen,lihtsalt,vain
keep,behalten,gorde,a pastra,conservare,garder,tart,hoidma,pitää
key,Schlüssel,gakoa,cheie,chiave,clé,kulcs,võti,avain
kid,Kind,Txikitan,copil,ragazzo,enfant,kölyök,laps,lapsi
kill,töten,hiltzeko,ucide,uccidere,tuer,megöl,tapma,tappaa
kind,nett,nolako,drăguț,genere,gentil,kedves,lahke,kiltti
kitchen,Küche,sukaldea,bucătărie,cucina,cuisine,konyha,köök,keittiö
know,kennt,ezagutzen,ști,conoscere,savoir,tud,teadma,tietää
knowledge,Wissen,ezagutza,cunoştinţe,conoscenza,connaissance,tudás,teadmised,tuntemus
land,Land,lurrak,teren,terra,terre,föld,maa,maa
language,Sprache,hizkuntza,limba,linguaggio,la langue,nyelv,keel,Kieli
large,groß,handiak,mare,grande,grand,nagy,suur,suuri
last,zuletzt,azken,ultimul,scorso,dernier,utolsó,viimati,kestää
late,spät,berandu,târziu,in ritardo,en retard,késő,hilja,myöhään
later,später,geroago,mai tarziu,dopo,plus tard,majd később,pärast,myöhemmin
laugh,Lachen,barre,a rade,ridere,rire,nevetés,naerma,nauraa
law,Gesetz,legeak,lege,legge,loi,törvény,seadus,laki
lawyer,Anwalt,abokatu,avocat,avvocato,avocat,jogász,advokaat,lakimies
lay,legen,etzan,pune,posare,allonger,világi,panema,asettaa
lead,führen,ekar,conduce,condurre,conduire,vezet,viima,johtaa
leader,Führer,lider,lider,capo,chef,vezető,juht,johtaja
learn,lernen,ikasten,învăța,imparare,apprendre,tanul,õppima,oppia
least,am wenigsten,gutxienez,cel mai puţin,meno,moins,legkevésbé,kõige vähem,vähiten
leave,verlassen,utzi,părăsi,partire,laisser,szabadság,lahkuma,jättää
left,links,ezker,stânga,sinistra,la gauche,balra,vasakule,vasen
leg,Bein,hanka,picior,gamba,jambe,láb,jalg,jalka
legal,legal,lege,legal,legale,légal,jogi,õiguslik,oikeudellinen
less,Weniger,gutxiago,Mai puțin,Di meno,Moins,Kevésbé,vähem,Vähemmän
let,Lassen,utzi,lăsa,permettere,laisser,enged,laskma,päästää
letter,Brief,gutun,scrisoare,lettera,lettre,levél,kiri,kirjain
level,Niveau,Maila,nivel,livello,niveau,szint,tase,taso
lie,Lüge,gezur,minciună,menzogna,mensonge,hazugság,vale,valehdella
life,Leben,bizitza,viaţă,vita,la vie,élet,elu,elämä
light,Licht,argia,ușoară,luce,lumière,fény,valgus,valo
like,mögen,bezalako,ca,piace,comme,mint,nagu,Kuten
likely,wahrscheinlich,litekeena,probabil,probabile,probable,valószínűleg,tõenäoliselt,todennäköisesti
line,Linie,line,linia,linea,ligne,vonal,liin,linja
list,Liste,zerrenda,listă,elenco,liste,lista,nimekiri,lista
listen,Hör mal zu,entzun,asculta,ascolta,écouter,hallgat,kuulama,kuunnella
little,wenig,gutxi,puțin,poco,peu,kicsit,vähe,vähän
live,Leben,bizi,Trăi,vivere,vivre,élő,elama,elää
local,lokal,local,local,Locale,local,helyi,kohalik,paikallinen
long,lange,luze,lung,lungo,longue,hosszú,pikk,pitkä
look,aussehen,begiratu,uite,Guarda,Regardez,néz,vaatama,Katso
lose,verlieren,galtzen,pierde,perdere,perdre,elveszít,kaotama,menettää
loss,Verlust,galera,pierderi,perdita,perte,veszteség,kaotus,tappio
lot,Menge,asko,mult,lotto,lot,sok,partii,erä
love,Liebe,maite,dragoste,amore,amour,szeretet,armastus,rakkaus
low,niedrig,txikia,scăzut,Basso,faible,alacsony,madal,matala
machine,Maschine,makina,maşină,macchina,machine,gép,masin,kone-
magazine,Zeitschrift,aldizkariak,revistă,rivista,magazine,magazin,ajakiri,aikakauslehti
main,Main,nagusia,principal,principale,principale,fő-,põhiline,tärkein
maintain,pflegen,mantendu,menţine,mantenere,maintenir,fenntart,säilitama,ylläpitää
major,Haupt,garrantzitsu,major,maggiore,Majeur,Jelentősebb,peamine,suuri
majority,Mehrheit,gehiengo,majoritate,maggioranza,majorité,többség,enamus,suurin osa
make,machen,egiteko,face,rendere,faire,csinál,tegema,tehdä
man,Mann,gizon,om,uomo,homme,Férfi,mees,mies
manage,verwalten,kudeatzeko,administra,gestire,gérer,kezel,juhtima,hoitaa
management,Verwaltung,kudeaketan,administrare,gestione,la gestion,vezetés,juhtimine,johto
manager,Manager,kudeatzailea,administrator,manager,directeur,menedzser,juht,johtaja
many,viele,asko,mulți,molti,beaucoup,sok,palju,monet
market,Markt,merkatua,piaţă,mercato,marché,piac,turg,markkinoida
marriage,Ehe,ezkontzaren,căsătorie,matrimonio,mariage,házasság,abielu,avioliitto
material,Material,material,material,Materiale,Matériel,anyag,materjal,materiaali
matter,Angelegenheit,materia,materie,importa,matière,ügy,küsimus,asia
may,kann,may,Mai,potrebbe,peut,lehet,võib,saattaa
maybe,könnte sein,agian,poate,può essere,peut être,talán,võib olla,ehkä
me,mir,me,pe mine,me,moi,nekem,mulle,minulle
mean,bedeuten,esan nahi,însemna,significare,signifier,átlagos,keskmine,tarkoittaa
measure,messen,neurtu,măsura,misurare,mesure,intézkedés,mõõtma,mitata
media,Medien,media,mass-media,media,médias,média,andmekandja,tiedotusvälineet
medical,medizinisch,mediku,medical,medico,médical,orvosi,meditsiini-,lääketieteellinen
meet,Treffen,Ekin,întâlni,incontrare,rencontrer,találkozik,vastama,tavata
meeting,Treffen,bilera,întâlnire,incontro,réunion,találkozó,kohtumine,tapaaminen
member,Mitglied,kidea,membru,membro,membre,tag,liige,jäsen
memory,Erinnerung,memoria,memorie,memoria,Mémoire,memória,mälu,muisti
mention,erwähnen,aipatu,menţiune,citare,mention,említés,mainima,mainita
message,Botschaft,mezua,mesaj,Messaggio,message,üzenet,sõnum,viesti
method,Methode,Metodo,metodă,metodo,méthode,eljárás,meetod,menetelmä
middle,Mitte,erdiko,mijloc,mezzo,milieu,középső,keskmine,keskimmäinen
might,könnte,agian,ar putea,potrebbe,pourrait,esetleg,vägi,mahti
military,Militär-,militarra,militar,militare,militaire,katonai,sõjaline,sotilaallinen
million,Million,milioi,milion,milione,million,millió,miljon,miljoona
mind,Verstand,gogoan,minte,mente,esprit,elme,vaim,mieli
minute,Minute,minute,minut,minuto,minute,perc,minut,minuutti
miss,Fräulein,miss,domnișoară,Perdere,manquer,hiányzik,igatsema,neiti
mission,Mission,misioa,misiune,missione,mission,küldetés,missioon,tehtävä
model,Modell-,eredu,model,modello,modèle,modell,mudel,malli-
modern,modern,modernoa,modern,moderno,moderne,modern,kaasaegne,moderni
moment,Moment,une,moment,momento,moment,pillanat,hetk,hetki
money,Geld,dirua,bani,i soldi,argent,pénz,raha,raha
month,Monat,Hileko,lună,mese,mois,hónap,kuu,kuukausi
more,Mehr,gehiago,Mai Mult,Di Più,plus,több,rohkem,lisää
morning,Morgen,goizean,dimineaţă,mattina,Matin,reggel,hommik,aamu
most,die meisten,gehien,cel mai,maggior parte,plus,a legtöbb,kõige,useimmat
mother,Mutter,ama,mamă,madre,mère,anya,ema,äiti
mouth,Mund,ahoa,gură,bocca,bouche,száj,suu,suu
move,Bewegung,mugimendu,mișcare,mossa,bouge toi,mozog,liikuma,liikkua
movement,Bewegung,mugimendu,circulaţie,movimento,mouvement,mozgalom,liikumine,liike
movie,Film,movie,film,film,film,film,Film,elokuva
Mr,Herr,jauna,Dl,Sig,m,úr,härra,Herra
Mrs,Frau,anderea,doamna,Sig.ra,Mme,Asszony,proua,rouva
much,viel,askoz,mult,tanto,beaucoup,sokkal,palju,paljon
music,Musik-,musika,muzică,musica,la musique,zene,muusika,musiikki
must,Muss,muztioa,trebuie sa,dovere,doit,kell,must,on pakko
my,meine,nire,mele,mio,mon,az én,minu,minun
myself,mich selber,neuk,eu insumi,me stessa,moi même,magamat,mina,itse
name,Name,izen,Nume,nome,prénom,név,nimi,nimi
nation,Nation,nazioaren,naţiune,nazione,nation,nemzet,rahvas,kansakunta
national,National,nazionalak,naţional,nazionale,nationale,nemzeti,riiklik,kansallinen
natural,natürlich,natural,natural,naturale,Naturel,természetes,looduslik,luonnollinen
nature,Natur,natura,natură,natura,la nature,természet,loodus,luonto
near,nahe,gertu,lângă,vicino,près,közel,lähedal,lähellä
nearly,fast,ia,aproape,quasi,presque,közel,ligi,lähes
necessary,notwendig,beharrezkoa,necesar,necessario,nécessaire,szükséges,vajalik,välttämätön
need,brauchen,behar,nevoie,bisogno,avoir besoin,szükség,vajadus,tarve
network,Netzwerk,sarea,reţea,Rete,réseau,hálózat,võrk,verkko
never,noch nie,inoiz ez,nu,mai,jamais,soha,mitte kunagi,ei koskaan
new,Neu,berriaren,nou,nuovo,Nouveau,új,uus,Uusi
news,Nachrichten,Berri,știri,notizia,nouvelles,hírek,uudised,uutiset
newspaper,Zeitung,egunkari,ziar,giornale,journal,újság,ajaleht,sanomalehti
next,Nächster,hurrengo,Următor →,Il prossimo,suivant,következő,järgmine,Seuraava
nice,nett,polita,frumos,simpatico,agréable,szép,kena,kiva
night,Nacht-,gauean,noapte,notte,nuit,éjszaka,öö,yö-
no,Nein,no,Nu,no,non,nem,ei,ei
none,keiner,bat ere ez,nici unul,nessuna,aucun,egyik sem,mitte ükski,ei mitään
nor,Noch,ezta,nici,né,ni,sem,ega,ei myöskään
north,Norden,iparraldean,Nord,nord,Nord,északi,põhja-,pohjoinen
not,nicht,ez,nu,non,ne pas,nem,mitte,ei
note,Hinweis,ohar,Notă,Nota,Remarque,jegyzet,Märge,Huomautus
nothing,nichts,ezer,nimic,Niente,rien,semmi,mitte midagi,ei mitään
notice,beachten,oharra,înștiințare,Avviso,remarquer,értesítés,teade,ilmoitus
now,jetzt,orain,acum,adesso,à présent,Most,nüüd,nyt
n't,nicht,ez,nu,non,NT,nem,ei,ei
number,Nummer,zenbakia,număr,numero,nombre,szám,number,määrä
occur,auftreten,gerta,avea loc,si verificano,se produire,előfordul,toimuma,tapahtua
of,von,of,de,di,de,"nak,-nek",kohta,of
off,aus,off,de pe,via,de,ki,väljas,pois päältä
offer,Angebot,eskaintza,oferi,offrire,offre,ajánlat,pakkumine,tarjous
office,Büro,bulegoan,birou,ufficio,Bureau,hivatal,kontor,toimisto
officer,Offizier,ofizial,ofiţer,ufficiale,officier,tiszt,ohvitser,upseeri
official,offiziell,ofiziala,oficial,ufficiale,officiel,hivatalos,ametlik,virallinen
often,häufig,askotan,de multe ori,spesso,souvent,gyakran,sageli,usein
oh,Oh,ai,Oh,Oh,Oh,ó,oi,vai niin
oil,Öl,olioa,ulei,olio,pétrole,olaj,õli,öljy
ok,OK,Ados,O.K,ok,D'accord,rendben,Okei,kunnossa
old,alt,zaharra,vechi,vecchio,vieux,régi,vana,vanha
on,auf,buruzko,pe,sopra,sur,tovább,edasi,päällä
once,Einmal,behin,o singura data,una volta,une fois que,egyszer,kunagi,kerran
one,ein,bat,unu,uno,un,egy,üks,yksi
only,nur,bakarra,numai,solo,seulement,csak,ainult,vain
onto,auf zu,kalera,pe,su,sur,-ra,peale,päälle
open,öffnen,open,deschis,Aperto,ouvrir,nyisd ki,avatud,avata
operation,Operation,operazioa,operație,operazione,opération,művelet,töö,operaatio
opportunity,Gelegenheit,aukera,oportunitate,opportunità,opportunité,lehetőség,võimalus,tilaisuus
option,Möglichkeit,aukera,opțiune,opzione,option,választási lehetőség,valik,vaihtoehto
or,oder,edo,sau,o,ou,vagy,või,tai
order,Auftrag,ordena,Ordin,ordine,ordre,sorrend,järjekord,tilata
organization,Organisation,antolakuntza,organizare,organizzazione,organisation,szervezet,organisatsioon,organisaatio
other,andere,beste,alte,altro,autre,más,muu,muut
others,Andere,beste batzuk,alții,altri,autres,mások,teised,toiset
our,unsere,gure,al nostru,nostro,notre,mi,meie,meidän
out,aus,out,afară,su,en dehors,ki,välja,ulos
outside,draußen,kanpo,in afara,al di fuori,à l'extérieur,kívül,väljaspool,ulkopuolella
over,Über,gorako,peste,al di sopra di,plus de,felett,üle,yli
own,besitzen,propioa,propriu,proprio,posséder,saját,enda,oma
owner,Inhaber,jabea,proprietar,proprietario,propriétaire,tulajdonos,omanik,omistaja
page,Seite,orri,pagină,pagina,page,oldal,lehekülg,sivu
pain,Schmerzen,mina,durere,dolore,douleur,fájdalom,valu,kipu
painting,Malerei,margolaritza,pictură,pittura,La peinture,festés,värvimine,maalaus
paper,Papier-,paper,hârtie,carta,papier,papír,paber,paperi
parent,Elternteil,guraso,mamă,genitore,parent,szülő,vanem,vanhempi
part,Teil,parte,parte,parte,partie,rész,osa,osa
participant,Teilnehmer,Parte-hartzaile,participant,partecipante,participant,résztvevő,osavõtja,osallistuja
particular,besonders,bereziki,special,particolare,particulier,különös,eriline,tietty
particularly,insbesondere,bereziki,în special,particolarmente,particulièrement,különösen,eriti,erityisesti
partner,Partner,bazkide,partener,compagno,partenaire,partner,partner,kumppani
party,Party,festa,partid,festa,fête,party,partei,juhla
pass,bestehen,pasatzen,trece,passaggio,passer,elhalad,üle andma,kulkea
past,Vergangenheit,iragana,trecut,passato,passé,múlt,minevik,menneisyys
patient,geduldig,Pazientzia,rabdator,paziente,patient,türelmes,patsient,potilas
pattern,Muster,eredua,model,modello,modèle,minta,muster,kuvio
pay,Zahlen,ordaindu,a plati,pagare,Payer,fizetés,maksma,maksaa
peace,Frieden,bakea,pace,pace,paix,béke,rahu,rauha
people,Menschen,jende,oameni,persone,personnes,emberek,inimesed,ihmiset
per,pro,per,pe,per,par,per,kohta,kohti
perform,ausführen,egiteko,a executa,eseguire,effectuer,teljesít,täitma,suorittaa
performance,Performance,errendimendu,performanţă,prestazione,performance,teljesítmény,jõudlus,esitys
perhaps,vielleicht,agian,poate,Forse,peut-être,talán,ehk,ehkä
period,Zeitraum,aldian,perioadă,periodo,période,időszak,periood,aika
person,Person,pertsona,persoană,persona,la personne,személy,isik,henkilö
personal,persönlich,pertsonala,personal,personale,personnel,személyes,isiklik,henkilökohtainen
phone,Telefon,mugikorra,telefon,Telefono,téléphone,telefon,telefon,puhelin
physical,physikalisch,fisikoak,fizic,fisico,physique,fizikai,füüsiline,fyysinen
pick,pflücken,jaso,alege,raccogliere,choisir,szed,korjama,valita
picture,Bild,irudi,imagine,immagine,image,kép,pilt,kuva
piece,Stück,pieza,bucată,pezzo,pièce,darab,tükk,pala
place,Platz,leku,loc,posto,endroit,hely,koht,paikka
plan,planen,plan,plan,Piano,plan,terv,kava,suunnitelma
plant,Pflanze,landare,plantă,pianta,plante,növény,taim,kasvi
play,abspielen,jolastu,Joaca,giocare,jouer,játék,mängima,pelata
player,Spieler,jokalari,jucător,giocatore,joueur,játékos,mängija,pelaaja
PM,PM,ARRATSALDEKO,P.M,PM,PM,DÉLUTÁN,PM,pääministeri
point,Punkt,puntu,punct,punto,point,pont,punkt,kohta
police,Polizei,poliziaren,politie,polizia,police,rendőrség,politsei,Poliisi
policy,Politik,politika,politică,politica,politique,irányelv,poliitika,politiikka
political,politisch,politikoa,politic,politico,politique,politikai,poliitiline,poliittinen
politics,Politik,politika,politică,politica,politique,politika,poliitika,politiikka
poor,Arm,pobrea,sărac,povero,pauvre,szegény,vaene,huono
popular,Beliebt,herri-,popular,popolare,populaire,népszerű,populaarne,suosittu
population,Population,populazio,populație,popolazione,population,népesség,rahvastik,väestö
position,Position,posizio,poziţie,posizione,position,pozíció,seisukoht,asento
positive,positiv,positiboa,pozitiv,positivo,positif,pozitív,positiivne,positiivinen
possible,möglich,posible,posibil,possibile,possible,lehetséges,võimalik,mahdollinen
power,Leistung,power,putere,energia,Puissance,erő,võimsus,teho
practice,trainieren,praktika,practică,pratica,entraine toi,gyakorlat,tava,harjoitella
prepare,bereiten,prestatu,a pregati,preparare,préparer,készít,valmistama,valmistella
present,vorhanden,gaur,prezent,presente,présent,ajándék,käesolev,esittää
president,Präsident,lehendakari,președinte,Presidente,Président,elnök,president,presidentti
pressure,Druck,presio,presiune,pressione,pression,nyomás,surve,paine
pretty,ziemlich,nahiko,frumos,bella,joli,szép,ilus,nätti
prevent,verhindern,saihesteko,împiedica,impedire,prévenir,megelőzése,takistama,estää
price,Preis,prezioa,Preț,prezzo,prix,ár,hind,hinta
private,Privatgelände,pribatuak,privat,privato,privé,magán,privaatne,yksityinen
probably,wahrscheinlich,seguruenik,probabil,probabilmente,Probablement,valószínűleg,tõenäoliselt,todennäköisesti
problem,Problem,arazoa,problemă,problema,problème,probléma,probleem,ongelma
process,verarbeiten,prozesua,proces,processi,processus,folyamat,protsess,käsitellä asiaa
produce,produzieren,ekoizteko,legume și fructe,produrre,produire,gyárt,tootma,tuottaa
product,Produkt,Produktu,produs,Prodotto,produit,termék,toode,tuote
production,Produktion,produkzio,producere,produzione,production,Termelés,tootmine,tuotanto
professional,Professionel,profesionala,profesionist,professionale,professionnel,szakmai,professionaalne,ammattilainen
professor,Professor,irakasle,Profesor,Professore,professeur,Egyetemi tanár,professor,professori
program,Programm,programa,program,programma,programme,program,programm,ohjelmoida
project,Projekt,proiektu,proiect,progetto,projet,program,projekt,projekti
property,Eigentum,jabetza,proprietate,proprietà,propriété,ingatlan,vara,omaisuus
protect,schützen,babestu,proteja,proteggere,protéger,véd,kaitsma,suojella
prove,beweisen,frogatu,dovedi,dimostrare,prouver,bizonyít,tõestama,todistaa
provide,zu Verfügung stellen,ematen,furniza,fornire,fournir,biztosítani,anda,säätää
public,Öffentlichkeit,publiko,public,pubblico,Publique,nyilvános,avalik,julkinen
pull,ziehen,tira,Trage,Tirare,tirez,Húzni,tõmbama,Vedä
purpose,Zweck,helburua,scop,scopo,objectif,célja,eesmärk,tarkoitus
push,drücken,bultzada,Apăsați,Spingere,pousser,nyom,tõuge,työntää
put,stellen,jarri,a pune,mettere,mettre,tesz,panema,laittaa
quality,Qualität,kalitatea,calitate,qualità,qualité,minőség,kvaliteet,laatu
question,Frage,Galdera,întrebare,domanda,question,kérdés,küsimus,kysymys
quickly,schnell,azkar,repede,velocemente,rapidement,gyorsan,kiiresti,nopeasti
quite,ziemlich,nahiko,destul de,abbastanza,assez,egészen,üsna,melko
race,Rennen,lasterketa,cursă,gara,course,verseny,rass,rotu
radio,Radio,radio,radio,Radio,radio,rádió,raadio,radio
raise,erziehen,goratzeko,a ridica,aumentare,élever,emel,tõstma,nostaa
range,Angebot,barruti,gamă,gamma,intervalle,hatótávolság,valik,alue
rate,Bewertung,tasa,rată,Vota,taux,arány,määr,nopeus
rather,lieber,baizik,mai degraba,piuttosto,plutôt,Inkább,pigem,pikemminkin
reach,erreichen,iristeko,a ajunge,raggiungere,atteindre,elérés,jõudma,tavoittaa
read,lesen,irakurri,citit,leggere,lis,olvas,lugenud,lukea
ready,bereit,prest,gata,pronto,prêt,kész,valmis,valmis
real,echt,benetako,real,vero,réal,igazi,tõeline,todellinen
reality,Wirklichkeit,errealitate,realitate,realtà,réalité,valóság,tegelikkus,todellisuus
realize,realisieren,konturatzen,realiza,rendersi conto,prendre conscience de,megvalósítani,mõistma,ymmärtää
really,Ja wirklich,benetan,într-adevăr,veramente,vraiment,igazán,tegelikult,Todella
reason,Grund,arrazoia,motiv,ragionare,raison,ok,põhjus,syy
receive,erhalten,jaso,a primi,ricevere,recevoir,kap,saama,vastaanottaa
recent,kürzlich,azkenaldiko,Recent,recente,récent,friss,hiljutine,viimeaikainen
recently,vor kurzem,Duela gutxi,recent,recentemente,récemment,mostanában,hiljuti,äskettäin
recognize,erkenne,aitortu,recunoaşte,riconoscere,reconnaître,elismerik,tunnistama,tunnistaa
record,Aufzeichnung,erregistro,record,disco,record,rekord,kirje,ennätys
red,rot,gorria,roșu,rosso,rouge,piros,punane,punainen
reduce,reduzieren,murrizteko,reduce,ridurre,réduire,csökkentésére,vähendama,vähentää
reflect,reflektieren,islatu,Reflectați,riflettere,réfléchir,tükrözik,kajastama,heijastaa
region,Region,eskualde,regiune,regione,Région,vidék,piirkond,alue
relate,sich beziehen,erlazionatu,raporta,riferirsi,rapporter,viszonyul,seotud,koskea
relationship,Beziehung,harremana,relaţie,relazione,relation,kapcsolat,suhe,yhteys
religious,religiös,erlijio,religios,religioso,religieux,vallási,usuline,uskonnollinen
remain,bleiben übrig,geratzen,rămâne,rimanere,rester,marad,jääma,jäädä jäljelle
remember,merken,gogoratzen,tine minte,ricorda,rappelles toi,emlékezik,meeles pidama,muistaa
remove,Löschen,kendu,elimina,rimuovere,retirer,eltávolít,eemaldama,poistaa
report,Bericht,txosten,raport,rapporto,rapport,jelentés,aruanne,raportti
represent,vertreten,ordezkatzen,reprezinta,rappresentare,représenter,képvisel,esindama,edustaa
Republican,Republikanisch,errepublikarren,Republican,Repubblicano,Républicain,Köztársasági,vabariiklik,tasavaltalainen
require,benötigen,eskatzen,necesita,richiedere,exiger,kíván,nõudma,vaatia
research,Forschung,ikerketa,cercetare,ricerca,recherche,kutatás,uurimistöö,tutkimus
resource,Ressource,baliabide,resursă,risorsa,Ressource,forrás,ressurss,resurssi
respond,antworten,erantzuten,răspunde,rispondere,répondre,reagál,reageerima,vastata
response,Antwort,erantzunik,raspuns,risposta,réponse,válasz,vastus,vastaus
responsibility,Verantwortung,erantzukizun,responsabilitate,responsabilità,responsabilité,felelősség,vastutus,vastuu
rest,sich ausruhen,atsedena,odihnă,riposo,du repos,pihenés,puhkus,levätä
result,Ergebnis,emaitza,rezultat,risultato,résultat,eredmény,tulemus,tulos
return,Rückkehr,Ordainetan,întoarcere,ritorno,revenir,Visszatérés,tagastamine,palata
reveal,verraten,agerian,dezvălui,svelare,révéler,felfed,avalduma,paljastaa
rich,Reich,aberatsa,bogat,ricco,riches,gazdag,rikas,rikas
right,Recht,eskuineko,dreapta,destra,droite,jobb,õige,oikea
rise,erhebt euch,igoko,creştere,salire,monter,emelkedik,tõusma,kohota
risk,Risiko,arriskua,risc,rischio,risque,kockázat,risk,riski
road,Straße,errepide,drum,strada,route,út,tee,tie
rock,Rock,rock,stâncă,roccia,Roche,szikla,kalju,rock
role,Rolle,rol,rol,ruolo,rôle,szerep,roll,rooli
room,Zimmer,gela,cameră,camera,pièce,szoba,tuba,huone
rule,Regel,arau,regulă,regola,règle,szabály,reegel,sääntö
run,Lauf,Korrika egin,alerga,correre,courir,fuss,jooks,juosta
safe,sicher,seguru,sigur,sicuro,sûr,biztonságos,ohutu,turvallinen
same,gleich,bera,la fel,stesso,même,azonos,sama,sama
save,sparen,gorde,Salvați,salvare,enregistrer,mentés,välja arvatud,Tallentaa
say,sagen,esan,Spune,dire,dire,mond,ütlema,sanoa
scene,Szene,eszena,scenă,scena,scène,színhely,stseen,näkymä
school,Schule,eskola,şcoală,scuola,école,iskola,kool,koulu
science,Wissenschaft,zientzia,ştiinţă,scienza,science,tudomány,teadus,tiede
scientist,Wissenschaftler,zientzialari,om de stiinta,scienziato,scientifique,tudós,teadlane,tiedemies
score,Ergebnis,puntuazio,scor,Punto,But,pontszám,skoor,pisteet
sea,Meer,itsasoa,mare,mare,mer,tenger,meri,meri
season,Jahreszeit,denboraldi,sezon,stagione,saison,évszak,hooaeg,kausi
seat,Sitz,eserlekua,scaun,posto a sedere,siège,ülés,iste,istuin
second,zweite,bigarren,al doilea,secondo,seconde,második,teine,toinen
section,Sektion,atala,secțiune,sezione,section,szakasz,lõik,jakso
security,Sicherheit,segurtasun,Securitate,sicurezza,Sécurité,Biztonság,turvalisus,turvallisuus
see,sehen,ikusi,vedea,vedere,voir,lát,nägema,nähdä
